state,total,had_covid,severeill_covid,died_covid
Andhra Pradesh,1006,26,18,1
Assam,210,1,1,0
Bihar,1758,8,3,0
Chandigarh,119,1,1,1
Chhattisgarh,783,31,7,0
Delhi,215,11,5,0
Goa,57,0,0,0
Gujarat,1227,21,10,1
Haryana,719,4,1,0
Himachal Pradesh,218,1,1,0
Jammu and Kashmir,261,7,2,0
Jharkhand,613,0,0,0
Karnataka,1902,0,0,0
Kerala,223,72,49,0
Madhya Pradesh,2010,3,3,1
Maharashtra,3027,53,15,0
Meghalaya,174,5,0,0
Orissa,770,20,4,0
Punjab,671,13,1,0
Rajasthan,1776,2,0,0
Tamil Nadu,1241,70,33,1
Tripura,154,0,0,0
Uttar Pradesh,3985,55,17,0
Uttaranchal,314,34,17,0
West Bengal,522,7,4,2
